stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,3,0,0,0,0,0,0,0,0,0,0,1,8,4,0,0,0,3,23,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0.28,0,0,0,0,0,0,0,0,0.28,1.69,0,0,0,0,2.54,1.69,0,0,0.28,0,0,0,0,0,0,0,0,0
21Day,0,0,0.74,0.37,1.11,0.37,0,0,0,0,1.11,0.37,0,0.37,2.22,0.74,0,0.74,0,1.11,0.37,0,0,0.37,0,0,0,1.11,0.37,0,0,0,0
3Month,0,0.31,0.94,0,0,0,0.31,6.76,0,2.08,45.77,0,0.42,0.52,11.96,0.52,0.31,2.08,0.21,0.52,0,0.1,0.1,0.1,0.1,0.1,0.52,0,0,0.1,0.31,0.42,0.52
22Month,0,0,0.14,0,0,0,0,2.73,0.14,0.96,0.82,0,0,0,1.37,0.27,0,0.14,0,0,0,0,0.14,0.14,0,0,0,0,0,0,0,0,0.14
