stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Hepatocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell
24hpf,0,0,0,0,0,0,1
72hpf,0.56,0,0,0,0.56,0,1.41
21Day,0.37,0.37,0,0,0.37,0.37,0.37
22Month,0,0,0.14,0.27,0,0,0
