stage,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,19.45,1.41,0,0.28,0.28,0,0,0,0,0
21Day,0,0.74,0.37,0,0.37,0,0,0,0.37,0,0,0,0,0,0,0,10.73,1.48,0,0,0,0,0.37,0,0,0
3Month,0.1,2.08,0.1,0.1,0,0.42,2.29,0.83,0,1.25,0.21,0.62,0.21,0.52,0.31,0.1,0.62,0.1,1.04,0,0,0.42,27.88,0.21,50.24,0.62
22Month,0,0.14,0,0,0,0.27,1.78,0,0,0.14,0,0.14,0.14,0,0,0,0.41,0,0.14,0,0,0,0.41,0,0,0.14
