stage,Epithelial_cell,Goblet_cell,Hepatocyte,Keratinocyte,Nephron_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
21Day,0,0,0,0,0,0.37,0,0,0
3Month,0.21,0,0,0.21,0.1,0,0.1,0.42,2.39
22Month,0,0.14,0.68,0,0,0,0,0,0
