stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.85,0,0,0,0,0,0,0,0,0,1.41,4.51,0.85,0.56,0,0.85,0,0,3.66,1.13,0.28,0,0,0.28,0,0,0.28,0,0.28,0,0,0
21Day,0.74,0.37,0,2.22,0.37,0,0,0.37,0,0.74,0.37,0,0.37,0.37,2.22,0.37,1.48,0,0,0.74,0,3.33,0.37,0,0,0,0.37,0,0.37,0.37,1.85,0,0,0,0
3Month,0,0.42,0.31,7.7,0,0.31,1.56,1.66,0,42.23,4.99,0,3.64,0.31,0.83,1.46,1.04,0.21,0,3.02,0.31,0.21,0.1,0.52,0.42,0,0.1,0.73,1.25,0,0,0,0,0.62,1.04
22Month,0,0,0.68,1.37,0,0.14,0.14,0.82,0.55,28.97,1.23,0.14,3.55,0,0,1.5,0.55,0,0.55,2.19,0,0.14,0,0,0,0.14,0.14,0,0,0,0,0,0.14,0,0.14
