stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,30,93,0,0,0,0,0,0,0,0
72hpf,6.2,1.41,0,3.1,1.41,4.51,0,0,0,0,0,0.28,2.82,6.48,0.56,4.79,0,618.37,170.8,9.02,0,0,6.48,0.28,0.56,0.85,0
21Day,0.74,0,0.37,4.81,0.37,3.7,1.85,0.37,0.37,0.37,0.74,1.11,0,2.59,0.74,2.22,0.74,166.12,46.25,1.48,5.18,0,1.48,0.37,1.48,0.37,0.74
3Month,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0.1,0,0,0.1,0,0,0,0,0
22Month,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0.14,0,0,0,0,0,0,0,0,0
