stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,2.82,0,0,0.56,0,0.28,0.56,0,0,10.43,0,0,0.28,0,0,0,0
21Day,0,0.37,0,0.37,0,0.37,0,0,0,0,0,0.37,0,0,0,0,0.37,0,14.06,0,0,7.77,0,0.74,0,0.37,0,8.51,1.48,0.37,0,0.37,0,0,0
3Month,0,2.18,0.1,12.17,0.62,0,0.21,0.42,0.52,3.54,0.21,5.51,1.04,0,3.12,0.1,2.7,1.25,87.37,8.63,0,4.16,0.31,0.31,0.31,0.1,0.31,3.43,0.94,8.95,0.21,2.5,2.29,1.98,0.62
22Month,0.27,1.5,0.55,9.84,0.14,0,0.55,0.55,0.14,2.32,40.99,18.86,0.41,0.14,3.42,0.41,1.09,1.09,48.1,0.55,0.41,3.55,0.14,0.27,0,0.27,0.14,3.69,0.14,0.68,0.27,1.09,0.55,0,0.14
