stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0.28,0,0,0,0,0,0,0,0,0.28,0.56,0,0,0,0,0,0,15.22,0.28,0,0,0,0.56,0.28,0,0,0,0
21Day,0.37,0.37,0.37,0,0,1.11,0.37,0,0,0,0,0.74,0,0,0,0,1.48,0,0,0,0,37,0.37,0.37,0.37,0.37,0,0,0.37,0,0,0.74
3Month,0,0.21,0.1,1.04,0,0,0,0.42,0.31,1.46,0.42,0,1.14,0.52,0.62,0.31,1.35,0.42,0,0.1,5.62,1.04,0.1,0,0.31,1.77,0.21,0,0,1.46,7.07,0.52
22Month,0,0,0,0.14,0,0,0,0,0,3.28,0,0,0.27,0,0,0.14,0.96,0,0.27,0,0,0.82,0,0,0,1.09,0.14,0,0,0,0.14,0
