stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell
24hpf,0,0,2,0,0,0,0,0,1,3,0,2,13,0,0,0,0,0
72hpf,0,0.28,0.28,0,0,0,0.56,1.41,0,1.69,0,2.25,2.82,0.28,0,0,0.28,0
21Day,0.74,0,1.85,0.74,0.37,0.37,0,0,0.74,4.07,0,2.22,1.48,1.11,0.37,0,0,0.37
3Month,0,0,0.31,0,0.1,0,0.1,0.1,0,0,0,0,0,0,0,0.1,0,0
22Month,0,0,0,0,1.78,0.27,0,0,0,0.14,0.14,0,0,0,0,0.27,0,0
