stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Retinal_cone_cell
24hpf,0,0,0,0,0,0,0,0,1,0,1,1,20,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0,0.85,1.13,0,0.28,0,0
21Day,0,0.37,0,0.37,0,0,0,0,0.37,0,0,0.37,0.37,0.37,0,0.37
3Month,0.21,0,0,0,0.1,0,0,0.1,0.1,0,0,0,0,0,0.1,0
22Month,0,0.14,0,0,0.14,2.46,0.14,0,0,0.27,0,0,0,0,0,0
