stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,15,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,0.28,0,0,0,0,0,0,0,0,0.28,0.28,0,0.85,0,0,0,7.89,3.66,0.28,0.28,0,0,0.85,0.28,0,0,0
21Day,1.11,0,0.37,0.37,0,0,0,0,0,0,0,0,0,0.37,0,1.11,0,0,0,2.22,2.96,0,0.37,0.37,0.74,0.37,0,0,0,0
3Month,0,0.31,1.56,0,0.21,0.31,0.52,0,1.77,0.42,0.1,0.42,0.1,1.14,0.42,0.52,0.21,0,0.1,0.1,0.21,0,0,0,1.77,0.1,0,0.52,0.73,0.1
22Month,0,0,0.55,0,0,0.14,0.27,0.14,4.78,0.14,0.14,0,0,0,0.55,0,0,0.14,0,0,0,0,0,0.14,0.55,0.14,0,0,0,0.55
