stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0.37,0,0,0,0,0,0,0,0,0
3Month,0.21,0.21,0,0.52,0,0,1.98,0.21,0.1,0.42,0.21,0.21,0.52,0.73,0,0.31,0.1,0,0,0.31,0.42,0.31,0,0.1,0.21,0.1,0.21
22Month,0,0.41,0.14,0.96,0.27,0.27,9.29,0.27,0.14,0.82,0,0,0.82,0.41,0.41,0,0,0.27,0.27,0.14,0.14,0,0.27,0,0.27,0,0.41
