stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,1,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,4,55,0,0,0,0,0,0,1,0,0,0,0
72hpf,0,0,0,0,0.28,0,0.28,0,0,0,0,0,0,0,0,0.85,0,3.1,0,0,0.28,0,4.23,3.38,0,0,0,2.25,0,0.28,0.28,0.56,0,0,0
21Day,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,1.11,0,0,0,0,1.11,0.74,0,0,0,1.48,0,0.74,0,0,0,0,0
3Month,0.1,0,0,0.52,0,0,0,0.1,0.1,0,0,1.87,0.21,0.1,0.42,0,0.1,0.42,0.1,0,0,0.1,0.1,0,0.21,0.1,0,0,0.42,57.21,0,0,0.52,2.29,0.1
22Month,0,0.82,0.14,1.78,0,0.14,0,1.09,0.68,1.37,0,14.21,0,0.27,4.51,0.27,0.14,1.64,0.14,0.96,0.27,0,0,0.27,0.27,0.14,21.73,0.14,0,17.9,0.41,0,0.27,0,0
