stage,Epithelial_cell,Erythroid_progenitor_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia
24hpf,0,0,0,0,4,0,0,0
72hpf,0.28,0,0,2.25,0.85,0,0,0.28
21Day,0,0.37,0.37,1.85,0.37,0.37,0.74,0.37
