stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,8,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,4,72,0,6,0,0,0,0,1,0,0,0
72hpf,2.82,7.05,0,6.48,2.54,0.85,0,0,0,0,0,0,0,0,0,1.13,2.82,0,29.03,0,0.85,0,11.27,15.78,0,20.86,0,0,3.66,0.28,0.28,0,0,0
21Day,2.59,1.48,0,7.4,0.74,0.37,0,0.37,0,0,0,0.37,0,0,0.37,0.37,2.22,0.37,28.49,0,1.48,0.37,7.77,6.66,0,7.03,2.22,0.37,0.74,0.37,0.37,0,0,0
3Month,0.21,1.98,0.1,6.03,0,0,0.1,0,0.42,0.62,0.1,1.66,0.21,0,0.62,0,2.39,0.1,10.82,6.66,0.42,0.1,0.42,0,0.1,1.14,0.31,4.78,0,0,0.1,0.83,1.98,0
22Month,0,0.82,0.27,0.55,0,0,0,0,0.27,0.14,0.55,2.32,0.14,0.14,0.14,0,0,0,4.78,0.27,0.14,0,0,0,0,0.27,0,1.23,0.14,0,0,0.14,0,0.14
