stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,5,4,0,8,12,0,0,0,0,0,0,1,0,0,0,0,0,4,6,38,0,0,0,164,145,0,0,0,3,0,0,0,0,2,0,0,0
72hpf,11.27,3.66,0,9.58,36.64,16.63,0,0.56,0,0.28,0.28,0,0.28,0,0.85,0,3.38,25.37,3.1,24.52,1.13,0.56,0.28,299.32,64.54,0.28,1.69,0,23.96,0,0,8.17,0.56,1.69,0,0,0
21Day,2.22,0,0.37,8.51,19.98,2.96,0,1.48,0,0,0,0,0.74,0.37,1.85,1.48,1.48,7.4,0.74,9.99,0.37,1.11,0,69.19,3.7,0,0.37,0,4.44,2.22,0.37,0.37,1.11,0.37,0,0,1.11
3Month,0,0.21,0,1.98,3.95,0,0,0,0.31,0.1,0,0,1.66,0.62,0,0.31,0.31,3.64,0.52,0.73,0,0,0,7.7,0,0,0,0,0.1,0.31,0.62,0,0,0,0.1,0.31,0
22Month,0,0.55,0.41,7.65,2.19,0,0.68,0.41,0.14,0.55,0.96,0,52.34,0.41,0.96,1.64,0,3.96,1.64,11.89,0.41,0.14,0,5.33,0.27,0.14,0.41,0.14,0,0.14,2.87,0.27,0,0,0,0,0.14
