stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell
72hpf,0.28,0,0,0,0,0,1.13,0,0.28,0
3Month,0.21,0.1,0.42,0.1,0,0.1,0,0.1,0,0.1
22Month,0.27,0,0.55,0,0.14,0,0,0.14,0.14,0
