stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.56,0,0,0,0,0,0,0,0,0.28,0.28,0,0.28,0,0,22.83,0.85,0,1.13,0,0,1.41,1.69,4.51,1.97,0,0,0
21Day,0.37,0,0.37,0.37,0.37,1.11,0,0,0,0,0.37,0.37,0,0.37,0.37,1.48,0,0,18.87,1.48,0,1.48,0,0,2.96,11.1,54.76,3.7,0,0,0
3Month,0.1,0.1,0,0.31,0,0,0.1,0.31,0.42,0,0,0.52,0,0.1,0,0,0.1,0,1.35,0,0,0.1,0.1,0.1,1.04,0.21,0,0.21,0.1,0.1,0.1
22Month,0,0,0,0.27,0,0,0,0.14,2.32,0.14,0,0.55,0,0.14,0.14,0.41,0,0.14,0.82,0.14,0.14,0.14,0,0,4.78,0.27,0,0,0,0,0.14
