stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,1.13,0.28,0.28,0,0,0,0,0,0,5.07,0,1.41,0.28,40.02,3.1,1.13,0.56,0,0,0.28,0.28,0,0,0
21Day,0.37,0,0,1.11,0,0,0,0,0.37,0,0,1.11,0,1.11,0,12.58,1.85,0,0,1.48,0.37,0.37,0,0.37,0.37,0.37
3Month,0,0.1,0.1,0,0,0,0,0.31,0,0,0.1,0,0.1,0,0,0,0,0.42,0,0,0.1,0,0,0,0,0
22Month,0,0,0.14,0,0.41,0.14,0,4.24,0,0.55,0,0,0.14,0.27,0,0,0,0.68,0,0,0.14,0.14,0,0,0,0
