stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,17,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0.28,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0.28,0.28,2.82,0,0,0,0,9.86,3.38,0,0,0,0.56,0,0,0.28,0,0,0
21Day,0,0,2.22,0,0.37,0,0,0,0,0,0,0,0,0.74,0,0,1.85,0,6.29,0,0,0.74,0,8.14,0.74,0,0,0,0,0,0,0.37,0,0,0.74
3Month,0.1,1.04,3.54,0.1,0,0.1,0,0,0.73,2.08,0,4.16,1.46,0,1.77,0.1,0.73,2.5,1.25,0.21,0,0.1,0.42,0.31,0.1,0.31,0.21,0,0.21,0.83,1.98,0.21,135.12,56.69,0.62
22Month,0,0.27,0.55,0.14,0,0,0.41,0.14,0.14,0.55,0.14,5.6,0.14,0.55,0.27,0,0,1.78,0.96,0,0.14,0,0,0,0,0.14,0,0.14,0,0.14,1.5,0,33.62,0.14,0.14
