stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,34,4,0,0,0,0,2,18,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,46.79,0,0,0,0,0.28,0,0,0.28,0,0,0,0,0,0,0.28,1.97,0.28,0,0,0,0.56,3.1,0.28,0,0,0,0,0,0,0.28,0,0,0,0,0
21Day,0.37,19.61,0,1.85,1.11,0,0,0,0.37,0,0,0,0.37,3.33,0,0,1.11,1.48,2.22,0,0,0,0,2.22,1.48,0.37,0,0.74,0,0,0,0.37,0,0.37,0,0,4.44
3Month,0,42.44,0.31,3.33,0,0.1,0,0.1,0.62,1.46,0,23.61,5.41,0.62,2.18,0.94,1.66,13.21,2.08,0.31,0.21,0.73,0.62,0.31,0,0,0.1,0,1.25,0.1,16.23,0,0.21,0,1.56,6.87,2.7
22Month,0,38.13,0.55,1.91,0,0.27,0,0,0.55,1.09,1.64,55.07,0.82,0.68,2.46,0,0.27,2.19,2.6,0.14,1.5,0.55,0.14,0.55,0.14,0.27,0.27,0,0.14,0,3.28,0.14,0.41,0,0.41,0,1.09
