stage,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Immune_progenitor_cell,Macrophage,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Radial_glia
24hpf,0,0,1,0,0,1,0,0,2,0,0
72hpf,0.28,0,0,0,0,0,0,6.76,0.28,0,0
21Day,0.74,0.37,0,0,0.37,0,0,16.28,0.74,0.74,0.37
3Month,0,0,0,0.21,0,0,0.1,0.1,0,0,0
