stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,17,0,0,1,8,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,6.48,0,0,3.95,3.1,0,1.69,0,0,0,0,0
21Day,0.74,0,0,0.37,0,0,0,0,0,0,0,0,18.13,0.37,0.37,0.74,0.37,0,0.74,0,0,0.37,0,0
3Month,0,0,0,0.31,0.1,0,0.1,0.1,0.21,0,0.1,0,0.42,0,0,0,0.1,0,0,0,0.1,0,0.1,0.1
22Month,0,0.14,0.14,0.14,0,0.14,13.53,2.19,0,0.41,0.14,0.27,0.68,0,0.14,0,0,0.14,0,0.14,0,0,0,0
