stage,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Hatching_gland,Hepatocyte,Immune_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell
24hpf,0,0,0,0,1,0,0,0,0,0,1,0,0,0
72hpf,0,4.23,0.28,0,0,0,0,0.28,0,0.28,0.28,2.25,0.28,0
21Day,0.37,4.07,0,0,0,0,0,0.37,1.11,0.37,0,9.99,0,0
3Month,0.21,0,0,0,0,0.31,0.1,0,0,0.1,0,5.3,0,0.21
22Month,0.14,0,0,0.14,0,0.55,0,0,0.41,0,0,9.16,0,0
