stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.13,0,0,0.28,0.56,0.28,0,0,0,0,0,0,0,0,0,0,0.28,0,1.13,0,0,0,0,22.27,1.41,0.28,0,0,1.13,0,0,0.28,0,0,0,0,0,0
21Day,11.84,0.37,0,1.11,1.11,1.48,0,0.37,0,0,0,0,0.74,0,0,0,0.74,0,4.81,0,0.37,0.74,0,29.23,1.85,0.37,0.74,0,2.59,1.85,0,1.11,13.69,19.98,0.37,0,0,0
3Month,1.56,0.31,0,0.83,0.52,0,0.21,0.21,0,0,0.62,0,1.46,0.21,0.62,0,0.42,0.31,1.14,0.21,0,0.21,0.83,2.08,0.1,1.14,0.1,0,0,0,1.35,1.14,0.73,0.1,0,1.04,0.21,0
22Month,0.55,1.09,0.27,1.09,0.27,0,0,0.14,0.14,0.14,1.23,0.55,5.74,0.41,0.55,0.14,0.14,0.41,0.96,0,0,0.55,0,2.73,0.14,1.37,0.14,0.14,0,0.14,1.91,4.37,20.09,0,0,0,0,0.27
