stage,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Keratinocyte,Macrophage,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell
24hpf,0,0,0,0,0,0,0,0,1,0
72hpf,0,0.28,0,0,1.41,0,0,0.28,0,0
21Day,0.37,0.37,0.37,0,6.66,0,0,0,0.37,0
3Month,0.1,0,0,0.31,0.1,0,0,0,0,0
22Month,0,0,0,1.64,0.27,0.27,0.14,0,0,0.14
