stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0.56,0.56,0,0,0.28,0,0
21Day,0,0,0,0,0,0,0.37,0.37,0,0.37,0,0,0,0,0,0,0.74,0,0,0
3Month,0.1,0.52,0.42,1.25,0.52,0.1,0.62,0.21,0.42,0.21,0.1,0.52,0,0,0,0.21,5.3,0,0.1,0.31
22Month,0.14,0,0.82,1.64,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0
