stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0.28,0,0,0,0,0,0,0.56,0,0.28,0,0,0,0.28,0,0.28,0,0,0,0,0
21Day,0,0,0.74,0,0,0,0,0.37,0,0,0.74,1.11,0,0,0.37,0,0,0.37,0,0.37,0,0,0
3Month,0.1,0.1,1.56,0.1,0.21,1.14,0.21,0,2.08,0.21,0.1,0.42,0.1,0.42,0,0,0.1,0.1,1.56,0,0.21,0.1,0.21
22Month,0,0.14,0,0,0,1.09,0,0,1.23,0,0,0.14,0,0,0.14,0,0.14,0,1.23,0,0,0,0
