stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,1,0,0,0,0,0,0,0,0,4,3,6,0,2,47,0,1,0,0,0,0,1,0,0,0
72hpf,0.85,0,0.28,0.28,0,0,0,0,0,0,0,1.41,0,0.56,0,2.54,1.41,0,0.85,0,0.28,0.28,0.28,0,0,0,0
21Day,0,0.74,0.74,0,0.37,0,0,0,0,0.37,0,0,0.37,0,0.37,1.48,0.37,0,0.37,0,0.37,0.37,0,0,0,0,0
3Month,0,0,0.21,0,0,0,0.1,0.52,0.42,0,0.52,0.31,0.1,0.1,0,0.1,0,0.1,0,0.1,8.43,0,0,0,0.31,2.29,0.1
22Month,0,0,0.14,0,0,0.14,0.41,0.68,0,0,0.14,0,0.14,0.41,0,0.14,0,0,0,0,0.41,0,0.14,0,0,0,0
