stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,9,14,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,1.41,0.56,0,0,0,0,0,0.56,0,0.28,0,0,0,13.53,1.13,0.28,0,0,0,0,0,0.28,0.28,0,0,0
21Day,0.74,0,0,0.37,0,0.74,0,0,0,0,0,0,0,0.74,0,0.37,0,12.58,1.11,0,0,0.37,0.37,0.37,0,0,0,0,0,0
3Month,0,0,0.1,1.04,0,0,0.42,0.52,0.1,0.52,0.1,0,0,0.52,0.21,0.1,0,1.35,0,0,0.1,0,0.21,0.94,0,0,0,0.31,2.6,0.1
22Month,0,0.14,0,0.82,0,0,0.14,1.91,0,0.14,0,0,0.14,0.41,0,0,0,0.68,0,0,0,0,0,0.68,0.14,0,0,0,0,0
