stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,2,2,0,0,0,0,2,4,0,0,1,0,0,0,0,0,0,0,0
72hpf,0.85,0.28,0,3.38,0.56,0,0,0,0,0,0,0.28,0,0,0,1.41,10.15,3.66,0.85,0,0.28,0.28,0,20.01,1.41,0,0.28,0.56,0,0,0.56,0.28,0.28,0,0,0
21Day,3.33,0.37,0,7.77,0,0.37,0,0,0,0,0,0.37,0,1.48,13.32,0.74,2.59,9.62,3.7,0,0,0.74,0,11.1,0.74,0,1.11,2.22,1.48,0.37,0.37,0.74,0,0,0,0
3Month,0,1.14,2.18,11.23,0,0,0.52,1.46,0.94,0,0,12.9,2.39,0.1,71.25,0.83,3.95,21.32,4.58,1.25,0,0.73,4.89,0.83,0,0.1,0.21,0.52,0.73,5.62,0.21,0,0,0.52,6.35,1.77
22Month,0,1.91,1.78,3.96,0,0,0.27,1.64,2.32,2.6,0,33.89,2.19,0,73.65,0.27,0.96,9.43,3.14,0,1.64,0.55,0.14,0.27,0.14,1.64,0.14,0.14,0,0.55,0.41,0,0,0.41,0,0.68
