stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,T_cell
72hpf,0.28,0.28,0,0.28,0,0,0,0.28,0.28,0.56,0.85,0,0.28,45.1,0.85,0.28,0,0,0.56,13.25,21.7,0,0
21Day,0,0,0.37,0,0,0.37,0.37,0,0.74,1.48,0,0.74,0,5.55,0.37,0.74,0.74,0,0.74,14.43,61.79,0,0
3Month,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1
22Month,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0
