stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,2.25,0,0,0,0,0.85,0.28,0,0,0,0,0,0,0,0,0,0
21Day,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.22,0,0,0,0,0,0,0,0,0,0.37,0,0.37,0,0,0,0
3Month,0,0.42,0,1.98,0.1,0.1,0.31,0.31,0,4.78,0.73,0.1,0.73,0,0.42,0,7.59,0.21,0,0,0.1,0.21,0,0.1,0.31,0,0,0.42,2.08,0,0.42,0.52,0.21
22Month,0.14,0.55,0.14,0.96,0.27,0.14,0.14,0.82,0.55,31.57,0.27,0.55,2.32,0,0,1.5,9.02,0.14,0.41,0.41,0.27,0.14,0,0.27,0.14,0.27,0.27,0,1.91,0.14,0,0,0.27
