stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Ionocyte,Macrophage,Neural_cell,Primordial_germ_cell,Spermatocyte
72hpf,0,0,0,0,0,0,0.56,0,0
3Month,0,0.1,0.1,0.1,0.1,0.1,0,0.21,0.21
22Month,0.14,0,0.14,0,0,0,0,0,0
