stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
72hpf,0,0,0,0,0,0,0,0,0.56,0.28,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0.37,0,0
3Month,0.1,0.1,0.21,0.1,0.1,0.1,0,0.1,0,0,0,3.64,2.6
22Month,0,0,0,0.14,0.27,0.14,0.14,0,0.14,0,0,1.78,0
