stage,Epithelial_cell,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,6.48,0.85,0,0.56,0,2.25,0,0
21Day,0.37,0,0,0,0.37,0,0,0,1.11,0,0,0.37,0,0,0,0
3Month,0,0.1,0,1.04,0,0.21,0.1,0,0,0,0,0,0,0,0.1,0.1
22Month,0.14,0,0.14,2.05,0,0.14,0,0,0,0,0.14,0,0.27,0,0,0.14
