stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Oligodendrocyte,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,2,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0,0,0.28,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0
21Day,0,1.48,0,0,0,1.85,0,0,0,0,0.37,0.37,0,0,0.37,0,0,0,0,0.37
3Month,0.62,2.18,0.1,0.1,0.1,7.49,0.62,0.1,0,0.1,0.62,3.95,0.1,0.1,0.1,0.21,0.1,0.1,0.21,0.1
22Month,0.41,0.55,0,0,0,2.73,0.27,0.41,0.14,0,0.14,3.83,0,0,0,0,0,0,0,0
