stage,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Oligodendrocyte,Pancreatic_macrophage,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0.28,0.28,0,0,0,0,0,0,0,0.28,0,0.28,5.92,0,0,0,0.28,0,0,0
21Day,0,0.37,0,0,0,0,0,0,0,0,0,0,0.37,7.03,0,0,0,0,0,0,0
3Month,0,0.31,0,0,0.1,0.31,0,0.94,0.94,0.42,0.21,0.31,0.21,0,0,0.1,0.21,0,0.1,0.94,0.31
22Month,0.14,0.96,0,0.14,0,0.27,0.41,15.58,0.55,0.27,0.14,0.14,0.68,0,0.14,0,0.14,0,0,0,0.27
