stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0.28,0
21Day,0.37,1.85,0,0,0.37,0,0.37,0.74,0,1.11,0,0,0,0.37,0,0,0,0.37,0,0
3Month,0.1,0.42,2.7,0.1,0,0.42,0,0.21,0.1,0.1,0.1,0,0.1,0,0,0,0.1,0,0,0.21
22Month,0,0.14,3.83,0,0.14,0.27,0,0.14,0,0.41,0.14,0.14,0,0,0.27,0.14,0.14,0,0,0.14
