stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
72hpf,3.66,0.56,0,0.56,0.56,0,0,0,0,0.56,2.25,0,0,0,0,0.28,2.54,1.97,0,0.28,0.85,0,0,0,0,0,0
21Day,1.11,0,0,0.37,0.37,0,0,0,0,0.37,0,0,0.74,0,0.37,0,1.11,0,0,0,0,0.37,0,0,0,0,0
3Month,0.21,0.52,0.1,1.25,0,0.1,0.94,0.21,0.42,0.42,0.31,0.31,0.31,0.31,0,4.26,0,0,0,0.52,0.21,0.1,2.91,0.1,0.1,0.94,0.31
22Month,0,0.27,0,0.14,0,0,1.23,0,0.14,0,0,0.14,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0
