stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,43,1,1,0,0,0,0,5,1,0,0,0,0,0
72hpf,0.56,0,3.95,0.28,0,0,0,0,0,0,0,0,0,0.28,27.06,0,0.28,0.56,0,0,1.13,0.28,1.41,0,0,0.28,0,0
21Day,0,0,15.91,0,0.74,0,0,0,0,0,0,0.37,0,0.37,20.35,0.37,2.59,0,0.37,0,1.11,0.74,0.37,0.37,0,0,0,0.37
3Month,0.1,0.1,5.3,0,0,0,0,0,0,0.94,0.21,0,0.62,0,0.52,0.21,0.73,0,0.1,0.21,0,0,0,0.31,0,0,0.1,0.1
22Month,0,0.27,2.05,0,0,0.14,0.14,0.14,0.41,9.84,0,0,1.5,0,0.14,0.27,0.14,0.27,0.14,0,0.14,0,0,0.41,0.27,0,0,0
