stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,9,0,0,0,0,0,0,0,37,0,0,1,0,2,0,1,0,0,0,0,0,1,12,0,0,0,0,0,0,0,1,0,0,0
72hpf,0,0,0,9.58,0,0.28,0,0,0,0,0,0,0,0,0.28,0,8.46,3.95,0,1.13,0,0,0,0,1.41,1.13,0.28,0,1.13,0.28,0,0.28,0,0,0,0,0
21Day,0,0,0.74,21.09,0,0.37,0,0.74,1.11,0.37,0,0,0,0,0,1.85,3.33,3.33,0.37,0.74,0,0,0,0,0.37,0.37,0.37,0,0,0.74,0,0,0.74,0,0,0,0
3Month,0.1,0.42,7.7,75.72,0.1,0,0.52,0.1,17.89,7.7,0,0,8.01,2.91,0.62,103.6,5.82,12.79,7.07,1.87,0.42,0.1,1.35,0.62,0.31,0,5.93,0,0.21,1.77,6.14,0.1,0,0.1,0.73,1.46,1.56
22Month,0,0,5.6,12.71,0,0,0,0.14,7.65,6.01,0.41,0,9.57,0.41,0.82,40.99,0.27,2.32,0.96,0.27,0,0.41,2.6,0,0.27,0,2.46,1.09,0,0.27,1.09,0,0,0,0,0,0
