stage,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0
72hpf,0,0.28,0.28,0,0,0,0,0,0,0,21.7,1.69,0,0,0,0
21Day,0,0,0.74,0,0,0,0,0,0,0,10.36,1.48,0,0,0.37,0
3Month,0.31,0,0,0,0,0,0.21,0.21,0,0,0,0,0.1,0.1,0,0.21
22Month,0.14,0,0,0.14,0.14,0.55,3.28,0.27,0.14,0,0.14,0,0,0,0,0.14
