stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia,Spermatocyte
72hpf,0.28,0,0,0,0.56,0.56,0,0.28,0
21Day,0,0,0,0,0.74,0,0,0,0
3Month,0,0.31,0.1,0,0,0,0.52,0,0.1
22Month,0,0,1.37,0.14,0,0,0,0,0
