stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,7,0,0,0,0,0,5,0,0,0,0,0,5,0,0,15,1,0,0,0,0,0,0,0,0
72hpf,0.85,0.56,1.13,1.69,0,0,0,0,0.28,0,0,1.41,0.56,1.13,25.65,2.25,0,0.56,0.28,0,0,0,0.28,0,0
21Day,0.37,1.11,2.22,4.07,0,0,0,0,0.37,0,0,1.11,2.22,4.81,7.77,0.37,0,0,0,0.74,0.37,0.37,0,0,0
3Month,0,0.42,0.31,0,0.1,0.1,0,0.1,0,0.1,0.1,0.52,2.7,0.1,0,0.1,0.42,0.31,0,0,1.46,0,0,0.21,0.21
22Month,0,0.14,0.14,0,0,0,0,0.27,0,0,0,0,0.41,0.27,0.14,0,0.14,0,0,0,1.91,0,0,0,0
