stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,7,1,0,12,0,0,0,0,0,0,0,0,2,1,4,101,0,0,0,17,348,2,0,2,0,0,0,0,0,0,0,0
72hpf,5.36,0.56,0,3.66,0.56,5.36,0.28,0,0,0,0.28,0,2.82,8.46,0.56,17.76,0.56,0.85,0.28,385.29,71.31,0,1.97,10.43,0.28,0,19.17,0,0.28,0,0,0
21Day,5.92,0,0,1.11,0,0,0.37,0,0,0,0.37,0,0,0,0,8.51,0,2.59,0.37,18.87,9.62,0.37,0,2.59,1.48,0,2.59,0.74,0,0,0,0.37
3Month,0.21,0,0.1,0.73,0,0,0,0.1,0.1,0.73,0.1,2.91,0.1,0.21,0,1.66,0,1.04,0,0.52,0,0,0.31,0,0.21,6.66,0,0,0,0.1,1.56,0.1
22Month,0,0,0,0.14,0,0,0,0,0.14,0.68,0,1.09,0,0,0.14,0.14,0,0,0,0,0,0,0,0,0,2.6,0,0,0,0,0,0
