stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,4,0,3,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.54,0.56,0,1.41,0.56,0,0,0,0,0,0,0.28,0,0,0,0,1.97,0,3.1,0,0,0,0,4.23,3.66,0,0,0,1.13,0,0,1.97,0,0,0.28,0,0,0
21Day,0,0.37,0,0.74,0,0,0.37,0,0,0,0.37,0,0,0,0.37,0,0,0,1.48,0,0,0.37,0,0.74,0,0,0.37,0,0.37,0.37,0,1.48,0.37,0.74,0,0,0,0
3Month,0.73,1.25,0.62,52.32,0,0.62,0.1,0.1,0.62,2.18,2.29,11.13,2.08,0.1,4.37,0.73,3.85,1.77,4.16,0.42,0.31,1.04,1.04,0.42,0.31,0.62,0.1,0,0.1,1.04,0.1,90.81,0.21,0,0.52,1.14,16.33,2.08
22Month,0,0.41,0,12.57,0,0.41,0.14,0,0.27,1.37,3.28,2.46,0.27,0,1.09,0.27,0.14,0.96,1.23,0,0.14,0,0,0.27,0.14,0.41,0,0.14,0,0,0,20.91,0.14,0,0,0,0,0.27
