stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,1.97,1.69,0,0,0,0.56,0,0,0,1.13,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0.37,0,0,1.11,0,1.11,1.11,0,0,0,0,0.37,0,0,0.74,0,0,0,0,0
3Month,0.73,4.78,4.26,45.14,0.31,1.98,0.42,0.1,5.41,19.35,0.31,0,101,25.48,1.66,27.98,3.95,17.37,10.71,22.36,6.55,0.94,6.14,3.22,2.7,1.04,2.39,2.6,0,1.25,8.63,0.1,12.27,1.77,0,0.62,5.82,6.87,18.31
22Month,0.55,9.57,4.65,19.81,0,2.73,0.14,0.14,2.32,24.19,9.29,0,186.66,7.52,2.6,22.41,0.82,3.28,8.88,21.86,1.23,8.2,5.06,0.55,3.42,0.68,1.09,4.65,1.64,1.09,0.96,0,0.55,3.42,1.64,0.41,0.82,0,8.88
