stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0.56,0,0,0,2.25,0,0,0,0.85,0,0.28,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0.37,0,0,0,0,0,0.37,0.37,0,0,0
3Month,0,0,1.04,0,0.21,0,0,0.73,0.31,0.21,0,0,0.42,0.31,0.31,0,0,0,0,0,0,0,0.1,17.99,0,0.1,4.16,0
22Month,0.82,0.14,0.68,0.14,0,0.14,0.41,6.56,0.41,0.14,0,0.14,0.14,1.23,0,0.14,0.14,0,0,0.14,18.86,0,0,3.96,0.14,0,0,0.27
