stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0.85,0,0,0,0,0,1.41,0,0,0,0.28,0,0,0.56,0,0,0,0,0
21Day,0,0.37,0,1.85,0,0,0,0,0,0,0,0,0,0,0,0.74,0,0.74,0,0,0.37,0,0.74,0.74,0,0.37,0,0,0,0.37,0,0,0.37,0,0,0
3Month,0.31,1.35,0.83,15.91,0,0.31,0.1,1.98,2.91,0.1,23.82,4.78,0.94,10.19,0.73,5.82,4.37,5.93,1.14,0.1,0.62,0.73,0.52,0.21,0.94,1.04,0,0.21,1.66,5.93,0.21,0,0.31,0.73,1.46,3.02
22Month,0.41,3.96,3.01,10.8,0.14,1.64,0.27,1.78,15.58,12.98,163.57,6.01,3.28,21.45,1.5,3.01,9.16,13.39,0.27,6.56,2.05,0.14,1.09,0.55,2.05,2.19,1.5,0,1.5,0.82,2.05,0.68,0.14,0.14,0,4.24
