stage,Epithelial_cell,Granulocyte,Keratinocyte,Macrophage,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte
72hpf,0.28,0,0,0,1.41,1.13,0,0.28,0,0
21Day,1.85,0,0,0.37,0.37,0.74,0.37,0,0.37,0
3Month,0,0.1,0.1,0,0,0,0.73,0,0,0.21
