stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.56,0,0.56,0,0,0.85,1.41,0,0.28,0,0,0,0,0
21Day,0.37,0.37,0,3.33,0.37,0,0,0,0.37,0,0,0,0,1.11,0,0,0.37,1.11,1.11,0,0,1.48,0.37,0,0.37,0,0,0,0,2.59
3Month,0,0.21,0.1,5.93,0,0.21,0,0.1,2.18,0,0,6.55,1.04,0.1,0.83,0.42,1.35,2.39,0.21,0,0.1,0.1,0,0,0,0.52,0.62,0.1,0.31,5.41
22Month,0,0.14,0,0.68,0,0,0.14,0.14,1.91,0.55,0,6.29,0.14,0,0.41,0,0.27,0.55,0.41,0.27,0.14,0,0,0.41,0,0.14,0.14,0,0,1.64
