stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Neural_cell,Primordial_germ_cell
72hpf,0,0,0,1.41,0
21Day,0.37,0,0,0,0
22Month,0,1.23,0.14,0,0.14
