stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,1,1,2,1,10,0,0,0,0
72hpf,0.28,0.28,0,0,0,0,0.56,0,0,6.76,7.05,0.85,0,0.28,0
21Day,0,1.85,0.37,1.11,0.37,1.11,0.74,0,1.11,5.18,2.22,0.37,0.37,0.37,0.37
