stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0
72hpf,1.69,0,0,1.13,0.56,0,0,0,0,0,0,0,0,1.41,0,1.97,0,0,0,0,5.64,6.2,7.33,0.28,0,0.85,0,0,0,0,0,0,0
21Day,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0.74,0,0,0,0,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0.31,0.1,3.02,0,0,0.21,1.14,0,3.22,0.62,0.21,1.87,1.04,0.62,0.94,0.21,0,0.21,0.1,0.31,0,4.37,0,0,0,0.31,1.25,0.1,0,0.21,0.42,0.83
22Month,0,0.27,0,1.09,0,0.55,0.55,3.96,0.41,7.65,0.55,0,1.23,0.27,1.09,1.78,0.14,0.41,0.27,0,0.27,0.27,6.97,0.27,0.14,0.14,0.14,3.28,0.14,0.14,0,0,0.27
