stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,5,0,0,0,0,0,0,0,0,6,0,0,2,4,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,1.13,0,0,0,0,0,0.85,6.76,0,1.41,0,0,14.09,0.56,0.28,1.41,0,0,0,0.56,0,0,0
21Day,0,0,0.37,0,0,0.37,0,0,0,0.37,0,1.48,0,0.37,8.51,0.37,0.37,1.11,0,0,0.37,0.37,0,0,0
3Month,0,0,2.29,0.21,0,0.42,0.1,0.1,0,0.94,0.1,1.14,0.1,0.1,0.1,0.42,0,0,1.14,0.21,0,0.31,0.52,0.21,0.1
22Month,0,0.14,0.41,0,0.41,1.23,0,0.14,0,0,0.27,0.14,0,0,0.14,0,0,0,1.78,0.41,0,0.14,0,0,0
