stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,3,0,0,0,0,0,0,0,0,1,0,0,118,3,0,0,0,0,9,0,0,0
72hpf,0.28,0.28,0,0,0,0,0,0,0,1.13,0.28,1.69,0,0,43.4,1.13,0,1.13,0,0,25.65,0,0,0
21Day,0,0,0.37,0,0,0,0,0,0,0.37,0,0,0,0,7.03,0,0,0.37,0.37,0,3.33,0,0,0
3Month,0,0,0.62,0.1,0.1,0.21,0.73,0.1,0.31,0.31,0,0.1,0.1,0.1,0.21,0,0.1,0,0,8.22,0.21,0.1,2.08,0.1
22Month,0,0.14,0.14,0,0,0,1.5,0,0.27,0,0.27,0.14,0,0,0,0,0,0,0,3.01,0,0,0.14,0
