stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell
24hpf,2,0,1,0,0,0,1,10,0,1,0,1,0,38,0
72hpf,0,0,2.82,0.28,0.28,0,0.85,5.36,0.28,0.85,0.85,0,4.79,11.84,0.28
21Day,0,0,2.59,0,0.37,0,0,1.11,0.37,1.11,0,0,0,1.11,0.37
22Month,0,0.14,0.14,0,0,0.41,0,0,0,0,0,0,0,0,0
