stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,51.3,0.28,0,0,0,0,0,0,0,0,0,0,1.13,0,0.56,0,0,0,0,4.23,1.97,0,0,0,0,0,0,0.28,0,0,0,0,0
21Day,2.22,0,0.37,28.86,0.37,0,0,0,0,0,0.37,0.37,4.44,2.96,0.74,1.85,0,6.66,0,0.37,2.59,0,2.59,2.59,0,0,0,3.33,2.96,0.74,1.11,0.37,1.11,0,0,1.48
3Month,0,0.52,0.21,6.03,0,0.1,0.1,0.21,0.31,1.25,3.54,2.29,1.14,1.87,0,1.35,0.83,5.1,0.83,0,0.31,0.83,0,0.21,0.73,0.21,0,0,0.83,9.26,0.21,0,0.31,0.52,1.14,3.33
22Month,0.14,0.14,0,1.37,0,0.14,0.27,0.27,0.27,2.32,19.13,0.55,0,0.55,0.14,0.27,1.37,6.01,0.82,0.14,4.51,0.14,0,0.14,0.27,0,0.27,0.14,0,7.79,0.41,0.27,0,0,0,0.41
