stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69,0,0,0,0,2.25,0.85,0,0,0.56,0,0,0.28,0,0,0,0
21Day,0.74,0,0,3.33,0.37,0.74,0,0,0,0,0.37,0,0,0,7.03,0,0,2.22,0.37,2.22,0,0,0.37,0,0.74,0.37,0,0,0,0.37,0.37,0.37,0.37,0,0,0.74
3Month,0.31,1.98,0.42,6.55,0.1,0,0.31,0,0.31,0.94,5.93,0.1,7.18,6.45,0.1,3.02,0.83,3.64,2.18,6.03,0.73,0.1,0.83,0.42,0.73,0,0.42,0.21,0,0.94,11.96,0.73,0,1.46,24.13,2.39
22Month,0.14,6.56,0.41,3.69,0,0,0.41,0.14,0,0.14,11.75,0.82,13.25,2.05,0.14,5.6,0.27,0.96,1.23,10.11,0.27,1.23,1.78,0,0.27,0,0.68,0.14,0.14,0,3.28,6.56,0.41,0,0.14,1.09
