stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Retinal_cell,Retinal_cone_cell
24hpf,0,0,0,1,0,0,2,0,0
72hpf,0,0,0,0,0,2.54,0,2.82,2.54
21Day,0.37,0.37,0.37,0.37,0.37,1.11,0,2.96,3.33
