stage,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Retinal_cell,T_cell
72hpf,0,0,0,0,0.56,0,0.28,0,0.28,0,0,0
21Day,0,0,0,0,0.74,0,1.11,0.37,0,0.37,0.37,0
3Month,0,0,0.31,0.1,0,0,0,0,0,0.31,0,0
22Month,0.14,0.14,0.55,0.27,0,0.27,0,0,0,2.46,0,0.14
