stage,Erythrocyte,Keratinocyte,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,0,0,0,1,0
72hpf,0,0.28,8.17,0.56,0
21Day,0.37,0.37,3.33,0,0.37
