stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,T_cell
24hpf,1,1,5,0,0,0,0,0,1,6,4,2,0,0,7,35,0,1,0,0,0,0,0
72hpf,0.85,0.28,0.56,0.28,0,0,0,0,0.85,6.76,0,1.41,0.28,0,4.79,3.66,0.85,1.41,0,0,0.28,0,0
21Day,0.74,0,3.7,0,0.37,0,0.37,0,0,1.48,0.74,0.74,0,0.37,1.48,0.74,0,1.11,0,0,0,0.37,0.37
3Month,0,0,0.1,0,0.1,0.1,0,0.1,0,0.1,0.31,0,0,0,0,0,0,0,0.1,0.31,0,0,0
22Month,0,0,0,0,0,0.14,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
